,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains,Repaired?
2023-06-23 04:00:00-04:00,19.72,19.72,19.66,19.7,19.7,0.0,0.0,0.0,0.0,
2023-06-23 04:01:00-04:00,19.7,19.71,19.69,19.69,19.69,0.0,0.0,0.0,0.0,
2023-06-23 04:02:00-04:00,19.7,19.72,19.69,19.71,19.71,0.0,0.0,0.0,0.0,
2023-06-23 04:03:00-04:00,19.72,19.73,19.71,19.72,19.72,0.0,0.0,0.0,0.0,
2023-06-23 04:04:00-04:00,19.72,19.72,19.71,19.72,19.72,0.0,0.0,0.0,0.0,
2023-06-23 04:05:00-04:00,19.73,19.74,19.71,19.71,19.71,0.0,0.0,0.0,0.0,
2023-06-23 04:06:00-04:00,19.72,19.73,19.71,19.72,19.72,0.0,0.0,0.0,0.0,
2023-06-23 04:07:00-04:00,19.72,19.73,19.68,19.69,19.69,0.0,0.0,0.0,0.0,
2023-06-23 04:08:00-04:00,19.7,19.7,19.68,19.68,19.68,0.0,0.0,0.0,0.0,
2023-06-23 04:09:00-04:00,19.68,19.7,19.67,19.7,19.7,0.0,0.0,0.0,0.0,
2023-06-23 04:10:00-04:00,19.69,19.7,19.69,19.7,19.7,0.0,0.0,0.0,0.0,
2023-06-23 04:11:00-04:00,19.7,19.71,19.69,19.71,19.71,0.0,0.0,0.0,0.0,
2023-06-23 04:12:00-04:00,19.72,19.73,19.71,19.73,19.73,0.0,0.0,0.0,0.0,
2023-06-23 04:13:00-04:00,19.73,19.74,19.73,19.73,19.73,0.0,0.0,0.0,0.0,
2023-06-23 04:14:00-04:00,19.73,19.74,19.73,19.73,19.73,0.0,0.0,0.0,0.0,
2023-06-23 04:15:00-04:00,19.73,19.73,19.71,19.72,19.72,0.0,0.0,0.0,0.0,
2023-06-23 04:16:00-04:00,19.73,19.74,19.72,19.735,19.735,0.0,0.0,0.0,0.0,
2023-06-23 04:17:00-04:00,19.73,19.74,19.72,19.72,19.72,0.0,0.0,0.0,0.0,
2023-06-23 04:18:00-04:00,19.72,19.74,19.72,19.74,19.74,0.0,0.0,0.0,0.0,
2023-06-23 04:19:00-04:00,19.73,19.75,19.73,19.75,19.75,0.0,0.0,0.0,0.0,
2023-06-23 04:20:00-04:00,19.75,19.76,19.74,19.74,19.74,0.0,0.0,0.0,0.0,
2023-06-23 04:21:00-04:00,19.74,19.75,19.74,19.75,19.75,0.0,0.0,0.0,0.0,
2023-06-23 04:22:00-04:00,19.75,19.77,19.75,19.77,19.77,0.0,0.0,0.0,0.0,
2023-06-23 04:23:00-04:00,19.78,19.79,19.77,19.78,19.78,0.0,0.0,0.0,0.0,
2023-06-23 04:24:00-04:00,19.79,19.8,19.78,19.8,19.8,0.0,0.0,0.0,0.0,
2023-06-23 04:25:00-04:00,19.79,19.81,19.79,19.81,19.81,0.0,0.0,0.0,0.0,
2023-06-23 04:26:00-04:00,19.81,19.81,19.78,19.78,19.78,0.0,0.0,0.0,0.0,
2023-06-23 04:27:00-04:00,19.79,19.79,19.78,19.78,19.78,0.0,0.0,0.0,0.0,
